LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID46492,46492,151,216.0,110.10391836743183,237.47986204395505,0.0,2069.95538520813,69,3.0481390320498747,1,,3279.7420814479638,3170.0,2108.0,5286.0,724823.0,553.5862678055882,-0.5120796573856444,-12.435778489470398,0.03630624046125033,-0.02503936024131887,3.5339644209808614,2.7226313889554783,-1.4222361357743534,1.297995915024195,29.189013480219955,20.827819496746788,0.8455546275182566,0.9442060085836913,3.8550862295067185
ID48317,48317,151,196.0,105.0169074357671,215.6312975512214,0.0,2549.9450397491455,85,2.8475676217300236,1,,3468.6230366492146,3314.0,1956.0,5819.0,662507.0,803.5459010196413,-0.4894404506438191,-8.27617881992495,-0.0239367215397161,0.08546512305355519,3.444213930975565,2.4544621258546178,1.45089817262447,1.4032459065858782,25.474048128191942,19.42437730001088,0.8484253153681527,0.9648241206030153,3.8485587685217224
ID46879,46879,151,399.0,107.40987547960711,236.9648926697848,0.0,2129.954092025757,71,4.112677848744456,1,,3367.750629722922,3230.0,2057.0,5615.0,1336997.0,645.130920689086,-0.3138504851210892,-4.775579810719117,0.14750414939934078,-0.07010952713162943,4.99513864933969,3.2034805966071067,-0.2511613507009855,1.559284814969748,53.137272267400434,40.06918458064895,0.415899225601752,0.756373937677054,5.496811905303012
ID46979,46979,152,443.0,364.73473424154076,245.47812322339382,0.0,2279.950859069824,76,4.313168136179529,1,,3543.3818181818183,3502.0,2268.0,5421.0,1559088.0,670.5516816437257,-0.3986005675871238,-7.004716952485292,0.10448079417420064,-0.004033939367130178,5.0263242798262695,3.8954220264021817,1.4755892101658992,1.2903157208022955,58.444365627440376,34.83560542663151,0.6052095710239284,0.8801198801198795,4.556716802534388
ID48067,48067,152,431.0,361.8696585437123,208.46305211611275,0.0,2579.944393157959,86,4.286156854571098,1,,3331.5903890160184,3274.0,2121.0,4966.0,1455905.0,562.7752775546232,-0.4192728161643932,-8.548130330750128,0.06328527333221916,-0.013305533152633118,4.58818702940583,3.944289581464226,0.5360793485765216,1.1632480158068343,57.71464029043509,33.71935384232311,0.637877626833453,0.9157894736842102,4.438500233959214
ID49731,49731,152,456.0,359.81982229436676,187.94333800981016,0.0,3029.934694290161,101,4.398009577631948,1,,3412.711790393013,3314.0,2179.0,5701.0,1563022.0,679.2609414652728,-0.3765026302884275,-6.067731498609162,0.06508282550398346,0.017147678532371074,5.225652413335288,3.9004207196286225,2.4643639941358084,1.3397663454707642,60.76621897245779,33.97663225675733,0.6614719294686879,0.9224572004028184,4.3586221596217225
ID50435,50435,152,405.0,361.6475537529953,182.03602666440315,0.0,3299.9288749694824,110,4.133164540142754,1,,3541.980343980344,3479.0,2175.0,5423.0,1441586.0,668.0186345936868,-0.39652132349497243,-6.967743949861413,0.13215196726406106,-0.171063139413373,6.013135048241449,3.3243914961229066,-1.2764733949198905,1.8087926934160152,53.66798160340453,34.79996132863923,0.5568876716129946,0.8978912319644835,4.750301009987099
ID50947,50947,152,397.0,362.41730397386317,176.52874394895508,0.0,3359.9275817871094,112,4.084340864642139,1,,3564.2979797979797,3470.0,2130.0,5847.0,1411462.0,723.4532148115901,-0.44700911242384855,-7.965113172009445,0.07785855554503267,-0.12808691928265803,6.478708958888867,2.6932454240692545,1.7704009424693372,2.4055397629155215,52.407546930395,40.92131839310874,0.39328235465292355,0.8152734778121731,5.652657882278888
ID49412,49412,152,452.0,359.0249518190377,188.657488541914,0.0,2969.935987472534,99,4.376350301685152,1,,3308.387168141593,3183.0,1895.0,5608.0,1495391.0,703.093158449176,-0.40736557886452357,-6.468907016463634,0.06555673049661698,0.03979986288013701,5.705381692333503,3.510255389524523,-0.547655975355206,1.625346608500277,60.16917096945329,34.87152361068532,0.6217875839024649,0.8874755381604685,4.495561147381781
ID47173,47173,152,429.0,365.13079499637826,238.33110285560772,0.0,2339.949565887451,78,4.2490465729206885,1,,3350.4719626168226,3236.0,2119.0,5423.0,1434002.0,559.7766589249411,-0.4352738724456595,-9.226689715659873,-0.005280047524410879,0.08574307315912777,5.385352796410046,3.4942724544916905,-1.355955247452354,1.5411943019747867,56.7195602854274,39.27620806104288,0.46204429835400046,0.844861660079052,5.215105809975415
ID49606,49606,152,467.0,359.2819799996559,188.21182616810017,0.0,2999.9353408813477,100,4.44101123717421,1,,3330.8736616702354,3216.0,2111.0,5632.0,1555518.0,662.0583158741443,-0.38404070438236665,-6.273604768480957,0.1386327947042695,-0.0028859582522967127,5.622483301890656,3.667710439108648,2.639096574803446,1.5329681541755162,61.960314978466855,37.900193161343225,0.542051604251355,0.8745318352059928,4.814870545043603
ID49159,49159,152,440.0,361.5601080406683,192.1987873003063,0.0,2879.9379272460938,96,4.293540420517127,1,,3371.9519450800917,3297.0,2286.0,5266.0,1473543.0,611.8791479713339,-0.40304391137833195,-7.441417954720441,-0.02341523768518551,0.023793685142235895,5.615796713359186,3.370406534079575,-1.054610788624269,1.6662075202428972,57.913656291436695,35.06427092360324,0.5919175570288117,0.8899082568807335,4.607595241274263
ID47560,47560,152,467.0,364.7282511300499,230.00756433637434,0.0,2399.948272705078,80,4.448137764203712,1,,3330.965811965812,3266.0,2203.0,5306.0,1558892.0,594.7171523792035,-0.4126440043629385,-7.86980261095313,-0.08123656351868586,0.03276868933033737,4.836848599864661,4.178734534102899,1.3451601600715932,1.1574912357774474,62.15933097946851,36.55577769551779,0.5845264128580737,0.8940839694656479,4.636634494613195
ID50632,50632,152,442.0,360.98005664715055,184.8122036760549,0.0,3209.930814743042,107,4.330269407987458,1,,3495.522624434389,3499.0,2139.0,5077.0,1545021.0,604.5074948074318,-0.36914718655833406,-6.767245655320498,0.10181125660769234,-0.04684717391363368,5.72194084471908,3.52467341985993,2.1544134963325456,1.6233960322333831,58.90873629644408,37.56056667067172,0.5247171981249013,0.8654970760233923,4.893755669948697
ID48905,48905,152,419.0,361.69896996377713,197.2925000248387,0.0,2759.94051361084,92,4.226624007049415,1,,3360.4609929078015,3273.0,2098.0,5231.0,1421475.0,569.188561669597,-0.41052609444280114,-8.223351857708645,0.07988694519268329,-0.1123179141138769,4.924272813823201,3.695366241668468,-1.0089824847516422,1.3325533903237365,56.122512282422996,38.464116639212826,0.4766893418527812,0.8536831483350124,5.134370578507928
ID50251,50251,152,465.0,359.63229471201726,187.03805904463607,0.0,3149.932107925415,105,4.4219510151478945,1,,3410.3874458874457,3284.0,1968.0,5268.0,1575599.0,635.6358076200712,-0.3729491684204621,-6.3822271486277655,-0.06171437581092389,0.10156715279322734,5.165800212027104,3.915818816976798,2.47840916316303,1.3192132867923017,61.429605642462846,31.816841894965332,0.7625590008335621,0.9362992922143577,4.059459437029726
ID50065,50065,152,435.0,359.3596363302887,187.6849799779292,0.0,3059.9340476989746,102,4.300911310785402,1,,3429.412300683371,3296.0,2269.0,5431.0,1505512.0,650.8731444513459,-0.3910198107388329,-6.766264031162669,0.21554209571362626,0.11726578417408771,5.211096146121904,3.8525209779883536,2.639181607949523,1.3526457547916972,58.1126722924378,38.398978673215375,0.4952692496604932,0.858823529411763,5.037142647413573
